category,base_text,perturbed_text,description,syllables_base,syllables_perturbed,tokens_base,tokens_perturbed,syllable_delta,token_delta,pair_id
subordination,Zum 24-Stunden-Ausgang können Sie die JVA zwischen 7.00 Uhr und 20.00 Uhr verlassen. Das I-Haus muss immer ordentlich und sauber sein.,"Zum 24-Stunden-Ausgang können Sie die JVA zwischen 7.00 Uhr und 20.00 Uhr verlassen, sodass das I-Haus muss immer ordentlich und sauber sein.",Parataxe -> Hypotaxe (sodass),37,39,26,27,2,1,129
subordination,Das I-Haus muss immer ordentlich und sauber sein. Ein Teich liegt mitten in Fischbeker Reethen.,"Weil das I-Haus muss immer ordentlich und sauber sein, ein Teich liegt mitten in Fischbeker Reethen.",Parataxe -> Hypotaxe (weil),31,33,16,17,2,1,130
subordination,Ein Teich liegt mitten in Fischbeker Reethen. Im Sommer kühlt die Grün-Anlage das Wohn-Gebiet.,"Obwohl ein Teich liegt mitten in Fischbeker Reethen, im Sommer kühlt die Grün-Anlage das Wohn-Gebiet.",Parataxe -> Hypotaxe (obwohl),30,32,16,17,2,1,131
subordination,"Im Sommer kühlt die Grün-Anlage das Wohn-Gebiet. Gebühren: 75 Cent je halbe Stunde oder 9,00 Euro für den ganzen Tag.","Weil im Sommer kühlt die Grün-Anlage das Wohn-Gebiet, gebühren: 75 Cent je halbe Stunde oder 9,00 Euro für den ganzen Tag.",Parataxe -> Hypotaxe (weil),34,36,23,24,2,1,132
subordination,"Gebühren: 75 Cent je halbe Stunde oder 9,00 Euro für den ganzen Tag. 2 Mitglieder von der Partei FDP.","Gebühren: 75 Cent je halbe Stunde oder 9,00 Euro für den ganzen Tag, sodass 2 Mitglieder von der Partei FDP.",Parataxe -> Hypotaxe (sodass),29,31,20,21,2,1,133
subordination,2 Mitglieder von der Partei FDP. Das Kompetenz - Zentrum Inklusive Bildung Sachsen-Anhalt wurde gegründet.,"Obwohl 2 Mitglieder von der Partei FDP, das Kompetenz - Zentrum Inklusive Bildung Sachsen-Anhalt wurde gegründet.",Parataxe -> Hypotaxe (obwohl),31,33,15,16,2,1,134
subordination,Das Kompetenz - Zentrum Inklusive Bildung Sachsen-Anhalt wurde gegründet. Dann können Sie haftbar gemacht werden.,"Obwohl das Kompetenz - Zentrum Inklusive Bildung Sachsen-Anhalt wurde gegründet, dann können Sie haftbar gemacht werden.",Parataxe -> Hypotaxe (obwohl),32,34,15,16,2,1,135
subordination,Dann können Sie haftbar gemacht werden. Hinweise werden immer vertraulich behandelt.,"Obwohl dann können Sie haftbar gemacht werden, hinweise werden immer vertraulich behandelt.",Parataxe -> Hypotaxe (obwohl),26,28,11,12,2,1,136
subordination,Hinweise werden immer vertraulich behandelt. Hans Guderwerdt der Jüngere lernte auch das Handwerk als Bild-Schnitzer.,"Obwohl hinweise werden immer vertraulich behandelt, hans Guderwerdt der Jüngere lernte auch das Handwerk als Bild-Schnitzer.",Parataxe -> Hypotaxe (obwohl),34,36,16,17,2,1,137
subordination,Hans Guderwerdt der Jüngere lernte auch das Handwerk als Bild-Schnitzer. Damit bestimmen Sie: So bezahle ich in der Zukunft.,"Obwohl hans Guderwerdt der Jüngere lernte auch das Handwerk als Bild-Schnitzer, damit bestimmen Sie: So bezahle ich in der Zukunft.",Parataxe -> Hypotaxe (obwohl),35,37,20,21,2,1,138
subordination,Damit bestimmen Sie: So bezahle ich in der Zukunft. Und es gilt für Zeitungen und Zeitschriften.,"Weil damit bestimmen Sie: So bezahle ich in der Zukunft, und es gilt für Zeitungen und Zeitschriften.",Parataxe -> Hypotaxe (weil),29,31,16,17,2,1,139
subordination,Und es gilt für Zeitungen und Zeitschriften. Darum sollen Sie nur 5 Tage auf einmal nehmen.,"Und es gilt für Zeitungen und Zeitschriften, sodass darum sollen Sie nur 5 Tage auf einmal nehmen.",Parataxe -> Hypotaxe (sodass),29,31,16,17,2,1,140
subordination,Darum sollen Sie nur 5 Tage auf einmal nehmen. Sie wollen ihre Zelle verlassen?,"Weil darum sollen Sie nur 5 Tage auf einmal nehmen, sie wollen ihre Zelle verlassen.",Parataxe -> Hypotaxe (weil),27,29,14,15,2,1,141
subordination,Sie wollen ihre Zelle verlassen? Diese Sachen müssen Sie in einem Paket bekommen.,"Sie wollen ihre Zelle verlassen, sodass diese Sachen müssen Sie in einem Paket bekommen.",Parataxe -> Hypotaxe (sodass),29,31,13,14,2,1,142
subordination,Diese Sachen müssen Sie in einem Paket bekommen. Sie müssen dafür einen Antrag stellen.,"Obwohl diese Sachen müssen Sie in einem Paket bekommen, sie müssen dafür einen Antrag stellen.",Parataxe -> Hypotaxe (obwohl),31,33,14,15,2,1,143
subordination,Sie müssen dafür einen Antrag stellen. Die Menschen aus den Städten lernen sich kennen.,"Obwohl sie müssen dafür einen Antrag stellen, die Menschen aus den Städten lernen sich kennen.",Parataxe -> Hypotaxe (obwohl),27,29,14,15,2,1,144
subordination,Die Menschen aus den Städten lernen sich kennen. Stadtbild-Analyse Quartiersuntersuchung Stadtzentrum - Nördliches Gängeviertel.,"Während die Menschen aus den Städten lernen sich kennen, stadtbild-Analyse Quartiersuntersuchung Stadtzentrum - Nördliches Gängeviertel.",Parataxe -> Hypotaxe (während),39,41,14,15,2,1,145
subordination,Stadtbild-Analyse Quartiersuntersuchung Stadtzentrum - Nördliches Gängeviertel. Sie können die Geldstrafe nicht bald zahlen?,"Während stadtbild-Analyse Quartiersuntersuchung Stadtzentrum - Nördliches Gängeviertel, sie können die Geldstrafe nicht bald zahlen.",Parataxe -> Hypotaxe (während),38,40,13,14,2,1,146
subordination,Sie können die Geldstrafe nicht bald zahlen? Ein Anwalt oder eine Anwältin vertritt Sie?,"Weil sie können die Geldstrafe nicht bald zahlen, ein Anwalt oder eine Anwältin vertritt Sie.",Parataxe -> Hypotaxe (weil),29,31,14,15,2,1,147
subordination,Ein Anwalt oder eine Anwältin vertritt Sie? Zum Beispiel Kauf und Verkauf von Häusern oder Grundstücken von der Gemeinde.,"Weil ein Anwalt oder eine Anwältin vertritt Sie, zum Beispiel Kauf und Verkauf von Häusern oder Grundstücken von der Gemeinde.",Parataxe -> Hypotaxe (weil),42,44,19,20,2,1,148
subordination,Zum Beispiel Kauf und Verkauf von Häusern oder Grundstücken von der Gemeinde. Die Architektin schreibt das dann auf.,"Zum Beispiel Kauf und Verkauf von Häusern oder Grundstücken von der Gemeinde, sodass die Architektin schreibt das dann auf.",Parataxe -> Hypotaxe (sodass),38,40,18,19,2,1,149
subordination,Die Architektin schreibt das dann auf. Der Beirat darf über dies Geld bestimmen.,"Die Architektin schreibt das dann auf, sodass der Beirat darf über dies Geld bestimmen.",Parataxe -> Hypotaxe (sodass),25,27,13,14,2,1,150
subordination,Der Beirat darf über dies Geld bestimmen. Dann schreibt die Staatsanwaltschaft einen Haftbefehl.,"Während der Beirat darf über dies Geld bestimmen, dann schreibt die Staatsanwaltschaft einen Haftbefehl.",Parataxe -> Hypotaxe (während),29,31,13,14,2,1,151
subordination,Dann schreibt die Staatsanwaltschaft einen Haftbefehl. In dem Plan finden Sie wichtige Infos zu allen Flächen.,"Während dann schreibt die Staatsanwaltschaft einen Haftbefehl, in dem Plan finden Sie wichtige Infos zu allen Flächen.",Parataxe -> Hypotaxe (während),33,35,16,17,2,1,152
control,Bitte lesen Sie diesen Text genau.,Bitte lesen Sie diesen Inhalt genau.,Synonym-Paraphrase (Kontrollgruppe),13,14,6,6,1,0,153
control,Das bedeutet: Menschen dürfen bei den Sitzungen zusehen.,Das bedeutet: Personen dürfen bei den Sitzungen zusehen.,Synonym-Paraphrase (Kontrollgruppe),18,19,8,8,1,0,154
control,Die Menschen aus den Städten lernen sich kennen.,Die Personen aus den Städten lernen sich kennen.,Synonym-Paraphrase (Kontrollgruppe),14,15,8,8,1,0,155
control,Alle Menschen haben das Recht auf Bildung und Arbeit.,Alle Personen haben das Recht auf Bildung und Arbeit.,Synonym-Paraphrase (Kontrollgruppe),16,17,9,9,1,0,156
control,Sie bauen zum Beispiel barrierefreie Eingänge oder Toiletten oder Parkplätze oder machen Räume besser für Menschen mit Hör-Behinderung.,Sie bauen zum Beispiel barrierefreie Eingänge oder Toiletten oder Parkplätze oder machen Räume besser für Personen mit Hör-Behinderung.,Synonym-Paraphrase (Kontrollgruppe),50,51,19,19,1,0,157
control,Das finden Sie bei Allgemeine Informationen: Hier finden Sie ausführliche Infos zur Internetseite gesetze-rechtsprechung.sh.juris.de.,Das finden Sie bei Allgemeine Mitteilungen: Hier finden Sie ausführliche Infos zur Internetseite gesetze-rechtsprechung.sh.juris.de.,Synonym-Paraphrase (Kontrollgruppe),48,47,18,18,-1,0,158
control,Paragraf 3 Diese Personen sind im Beirat für Menschen mit Behinderung.,Paragraf 3 Diese Personen sind im Beirat für Personen mit Behinderung.,Synonym-Paraphrase (Kontrollgruppe),22,23,11,11,1,0,159
control,Vielleicht gibt es im Besucherzentrum der JVA noch Zeit und Platz?,Vielleicht gibt es im Besucherzentrum der JVA noch Zeit und Ort?,Synonym-Paraphrase (Kontrollgruppe),19,19,11,11,0,0,160
control,Mehr Informationen stehen in der Bekanntmachung.,Mehr Mitteilungen stehen in der Bekanntmachung.,Synonym-Paraphrase (Kontrollgruppe),15,14,6,6,-1,0,161
control,Und wofür Menschen die Gebäude nutzen.,Und wofür Personen die Gebäude nutzen.,Synonym-Paraphrase (Kontrollgruppe),13,14,6,6,1,0,162
control,Er gab Geld für ein Haus für Arme und Alte Menschen.,Er gab Geld für ein Haus für Arme und Alte Personen.,Synonym-Paraphrase (Kontrollgruppe),16,17,11,11,1,0,163
control,Diese Informationen sind von der Geschäftsführerin.,Diese Mitteilungen sind von der Geschäftsführerin.,Synonym-Paraphrase (Kontrollgruppe),17,16,6,6,-1,0,164
control,Informationen über den Beirat.,Mitteilungen über den Beirat.,Synonym-Paraphrase (Kontrollgruppe),12,11,4,4,-1,0,165
control,Informationen und Termine zum Stamm-Tisch finden Sie im Rats-Informations-System.,Mitteilungen und Termine zum Stamm-Tisch finden Sie im Rats-Informations-System.,Synonym-Paraphrase (Kontrollgruppe),26,25,12,12,-1,0,166
control,Das Land hilft den Landkreisen bei Maßnahmen für Menschen mit Behinderungen.,Das Land hilft den Landkreisen bei Maßnahmen für Personen mit Behinderungen.,Synonym-Paraphrase (Kontrollgruppe),22,23,11,11,1,0,167
control,WfbM ist das kurze Wort für Werkstatt für behinderte Menschen.,WfbM ist das kurze Wort für Werkstatt für behinderte Personen.,Synonym-Paraphrase (Kontrollgruppe),16,17,10,10,1,0,168
control,Diese Gruppen helfen dem Beirat und Sie informieren ihn über Themen.,Diese Gruppen stützen dem Beirat und Sie informieren ihn über Themen.,Synonym-Paraphrase (Kontrollgruppe),24,24,11,11,0,0,169
control,Alle Gefangenen und Menschen in Sicherungsverwahrung müssen für Ordnung sorgen.,Alle Gefangenen und Personen in Sicherungsverwahrung müssen für Ordnung sorgen.,Synonym-Paraphrase (Kontrollgruppe),23,24,10,10,1,0,170
control,Arbeit Bildung Teilhabe und die Landesbeauftragte für Menschen mit Behinderungen.,Arbeit Bildung Teilhabe und die Landesbeauftragte für Personen mit Behinderungen.,Synonym-Paraphrase (Kontrollgruppe),28,29,10,10,1,0,171
control,Diese Menschen haben vorher in einer WfbM gearbeitet.,Diese Personen haben vorher in einer WfbM gearbeitet.,Synonym-Paraphrase (Kontrollgruppe),19,20,8,8,1,0,172
control,Sie verstoßen gegen diese Regel: Dann zeigen wir Sie bei der Polizei an.,Sie verstoßen gegen diese Regel: Dann weisen wir Sie bei der Polizei an.,Synonym-Paraphrase (Kontrollgruppe),27,27,13,13,0,0,173
control,Bau-Leitpläne zeigen: So können Flächen in einer Gemeinde genutzt werden.,Bau-Leitpläne weisen: So können Flächen in einer Gemeinde genutzt werden.,Synonym-Paraphrase (Kontrollgruppe),26,26,11,11,0,0,174
control,Menschen mit Behinderung sollen besser am Verkehr teilnehmen können.,Personen mit Behinderung sollen besser am Verkehr teilnehmen können.,Synonym-Paraphrase (Kontrollgruppe),20,21,9,9,1,0,175
control,Das können Sie im Bebauungs-Plan sehen: Wie man auf der Fläche bauen darf.,Das können Sie im Bebauungs-Plan schauen: Wie man auf der Fläche bauen darf.,Synonym-Paraphrase (Kontrollgruppe),25,26,14,14,1,0,176
control,Welche Änderungen muss es bei Regeln zur Arbeit für Menschen mit Behinderungen geben?,Welche Änderungen muss es bei Regeln zur Arbeit für Personen mit Behinderungen geben?,Synonym-Paraphrase (Kontrollgruppe),27,28,13,13,1,0,177
control,Das Projekt hat zuerst Menschen mit Beeinträchtigungen ausgebildet.,Das Projekt hat zuerst Personen mit Beeinträchtigungen ausgebildet.,Synonym-Paraphrase (Kontrollgruppe),21,22,8,8,1,0,178
control,Wir haben wichtige Informationen in Leichte Sprache übertragen.,Wir haben wichtige Mitteilungen in Leichte Sprache übertragen.,Synonym-Paraphrase (Kontrollgruppe),22,21,8,8,-1,0,179
control,Dann sehen Sie die Schaltflächen der Menü-Leiste nebeneinander.,Dann schauen Sie die Schaltflächen der Menü-Leiste nebeneinander.,Synonym-Paraphrase (Kontrollgruppe),22,23,9,9,1,0,180
control,Und sie begleiten den verletzten Menschen.,Und sie begleiten den verletzten Personen.,Synonym-Paraphrase (Kontrollgruppe),13,14,6,6,1,0,181
control,Mehr Menschen mit Behinderung sollen im allgemeinen Arbeitsmarkt arbeiten.,Mehr Personen mit Behinderung sollen im allgemeinen Arbeitsmarkt arbeiten.,Synonym-Paraphrase (Kontrollgruppe),24,25,9,9,1,0,182
control,"Studenten, Lehrer und Fach-Leute und Führungs-Kräfte lernen viel von den Bildungs-Fachkräften.","Studenten, Lehrer und Fach-Personen und Führungs-Kräfte lernen viel von den Bildungs-Fachkräften.",Synonym-Paraphrase (Kontrollgruppe),26,26,14,14,0,0,183
control,Im SGB IX stehen unter anderem Regeln zu: Rehabilitation und Teilhabe behinderter Menschen.,Im SGB IX stehen unter anderem Regeln zu: Rehabilitation und Teilhabe behinderter Personen.,Synonym-Paraphrase (Kontrollgruppe),31,32,13,13,1,0,184
control,Er ist eine Interessen-Vertretung für Menschen mit Behinderungen.,Er ist eine Interessen-Vertretung für Personen mit Behinderungen.,Synonym-Paraphrase (Kontrollgruppe),21,22,9,9,1,0,185
control,Sie setzen sich für Menschen mit Behinderungen ein.,Sie setzen sich für Personen mit Behinderungen ein.,Synonym-Paraphrase (Kontrollgruppe),16,17,8,8,1,0,186
control,Menschen mit seelischer Behinderung.,Personen mit seelischer Behinderung.,Synonym-Paraphrase (Kontrollgruppe),11,12,4,4,1,0,187
control,Wenn Sie diese Angebote nutzen möchten: Melden Sie sich Anfang von der Woche an.,Wenn Sie diese Angebote nutzen möchten: Melden Sie sich Beginn von der Woche an.,Synonym-Paraphrase (Kontrollgruppe),26,26,14,14,0,0,188
control,Hat den Text in schwerer Sprache unterschrieben.,Hat den Inhalt in schwerer Sprache unterschrieben.,Synonym-Paraphrase (Kontrollgruppe),13,14,7,7,1,0,189
control,Es sind Menschen mit und ohne Behinderung.,Es sind Personen mit und ohne Behinderung.,Synonym-Paraphrase (Kontrollgruppe),12,13,7,7,1,0,190
control,Sie wollen den Arbeits-Platz wechseln?,Sie wollen den Arbeits-Ort wechseln?,Synonym-Paraphrase (Kontrollgruppe),11,11,6,6,0,0,191
control,Der Beirat ist an Ideen zu Maßnahmen für Menschen mit Behinderung beteiligt.,Der Beirat ist an Ideen zu Maßnahmen für Personen mit Behinderung beteiligt.,Synonym-Paraphrase (Kontrollgruppe),25,26,12,12,1,0,192
control,In Eckernförde gibt es den Beirat für Menschen mit Behinderungen.,In Eckernförde gibt es den Beirat für Personen mit Behinderungen.,Synonym-Paraphrase (Kontrollgruppe),20,21,10,10,1,0,193
control,Alle können den Text dann kennen.,Alle können den Inhalt dann kennen.,Synonym-Paraphrase (Kontrollgruppe),9,10,6,6,1,0,194
control,Dies ist der Text in Leichter Sprache.,Dies ist der Inhalt in Leichter Sprache.,Synonym-Paraphrase (Kontrollgruppe),11,12,7,7,1,0,195
control,Weitere Informationen zum Text.,Weitere Mitteilungen zum Text.,Synonym-Paraphrase (Kontrollgruppe),12,11,4,4,-1,0,196
control,Es fördert Menschen mit Beeinträchtigung.,Es fördert Personen mit Beeinträchtigung.,Synonym-Paraphrase (Kontrollgruppe),12,13,5,5,1,0,197
control,Weitere Informationen zum Hochwasser-Schutz finden Sie hier.,Weitere Mitteilungen zum Hochwasser-Schutz finden Sie hier.,Synonym-Paraphrase (Kontrollgruppe),21,20,8,8,-1,0,198
control,Menschen in jedem Alter sollen Spaß haben können.,Personen in jedem Alter sollen Spaß haben können.,Synonym-Paraphrase (Kontrollgruppe),14,15,8,8,1,0,199
control,Sie müssen vielleicht auch bei der Reinigung von Gemeinschaftsräumen helfen.,Sie müssen vielleicht auch bei der Reinigung von Gemeinschaftsräumen stützen.,Synonym-Paraphrase (Kontrollgruppe),27,27,10,10,0,0,200
control,Darum gab es schnell eine Entscheidung: Das Projekt „Inklusive Bildung“ soll es auch an der Hochschule Magdeburg-Stendal geben.,Darum gab es zügig eine Entscheidung: Das Projekt „Inklusive Bildung“ soll es auch an der Hochschule Magdeburg-Stendal geben.,Synonym-Paraphrase (Kontrollgruppe),37,38,19,19,1,0,201
control,Und die Menschen vertrauen den Firmen dann oft nicht mehr.,Und die Personen vertrauen den Firmen dann oft nicht mehr.,Synonym-Paraphrase (Kontrollgruppe),16,17,10,10,1,0,202
